gene,training_f_score
SLC25A5,22.071202729952283
SEC14L5,22.011835254370382
SYNGR2,21.98337314163094
DRAP1,21.956603827347422
NDFIP1,21.860616685795907
ACTG1,21.813258841108226
RP11-693J15.5,21.77209393035532
GMFG,21.708253440594934
GNG5,21.64798440789689
COX8A,21.63465070410819
NUDT16,21.62407313987393
PPP1R14A,21.62076135432772
SLC25A6,21.600614221843745
PSME2,21.58725871655013
NAGK,21.575439115851818
MARCH2,21.56457579145935
C19orf59,21.532726144367466
CLEC10A,21.526747162760554
HIGD2A,21.519122481241695
ARRB1,21.4790405434921
NAMPT,21.407132369941117
SERPINE2,21.30442762773457
HEMGN,21.28866980311668
BLOC1S1,21.27851625611398
PLD4,21.240830881293792
NAGA,21.21982467692808
ACVR1,21.214448806901782
COX5B,21.20618983257986
ITM2A,21.193469905100333
PABPC1,21.15924521620804
HNRNPA1,21.149132053569648
BIN2,21.13329076095553
TRIM58,21.13041827661103
ADAM28,21.124696768061682
ATF3,21.090907734138003
HEBP1,20.977999356413765
UNC119,20.949781326612925
CEBPA,20.941292200619436
GPX4,20.863636028803334
SOD1,20.783487737886205
SNN,20.780257284775143
ATP1B3,20.691440861156593
CREG1,20.636711361565997
NEURL1,20.551644707696916
CEACAM3,20.546492466316053
MMRN1,20.519623059309424
SYK,20.499447390544194
SEC11A,20.498206081013834
PIM1,20.477347916789036
CCND3,20.422556356795432
TPD52,20.392482090713372
APOBEC3B,20.37928769704379
RHOBTB1,20.33453746648659
LYPD2,20.288452751123774
COX6B1,20.286184794534606
KIAA0226L,20.20968324511201
PTP4A3,20.1385562185324
FES,20.092322662228625
XPNPEP1,20.075735945192907
UBC,20.035141602475857
KLF6,20.034598004975134
UBE2L6,19.94116547237306
LINC00176,19.935878111878335
SIT1,19.870900310694807
ARL4C,19.863225598674223
TRAF3IP3,19.851653615630614
PLP2,19.84873961205746
PDIA3,19.834977951581777
EIF4E2,19.822033017277114
RNASE2,19.774078451046783
ARHGAP15,19.742737710591992
TCF4,19.73340019697498
CLEC4A,19.729401264003176
CDH23,19.700479104980246
AAK1,19.691931811924466
CATSPER1,19.684992117149942
MPST,19.58499158456993
TTC30A,19.548156939246375
MYL12B,19.535364386421882
TDRP,19.52484483954345
PLXNB2,19.51755325512049
LSP1,19.517534937456613
ZNF467,19.472434062181858
POLD4,19.453857168878837
CD4,19.425418279883974
PTPRE,19.389279212362663
EEF1D,19.381718753682417
SH2D2A,19.3796782415569
PEBP1,19.346076381493695
CALD1,19.343090213816424
LAG3,19.268720361828585
TNFRSF13C,19.268529119126573
TJP2,19.24277611299468
AFF3,19.23236613020701
TUBA1C,19.227923019455886
ZDHHC1,19.202318327005273
GYPC,19.201270941706625
PPP1CA,19.182924114990186
DNAJB1,19.118547085766398
ANXA6,19.060317984814013
NELL2,19.051956526240367
ATOX1,19.02532656956186
HIST1H2BK,19.01906701501796
H3F3B,19.011400802918615
FLNA,18.999978041876986
LDLRAP1,18.990279898854247
VMP1,18.95698122393033
SAT2,18.94701529837873
PCP2,18.914405571675157
CD151,18.849946655192422
HOTAIRM1,18.82561149301275
FCRL2,18.776549087269963
SNHG7,18.77538022452967
CD97,18.72329099728244
CDKN2D,18.71960313212398
CDKN1A,18.68265923122241
DYNLL1,18.636218029685086
GUCY1A3,18.62474106922914
IMPDH1,18.624169021034373
RP11-664D1.1,18.612070453719863
TMEM205,18.58902184559548
BIRC3,18.579085825073037
VAMP5,18.561711332710765
SIRPA,18.56136042689247
RPS24,18.536112538201536
CAPNS1,18.535580231001823
NFE2,18.51019362666715
RP11-362F19.1,18.49390967383811
RBX1,18.485869704943543
MSN,18.442302576062445
SMOX,18.43210028263755
CHCHD10,18.428459145553447
PPP1R18,18.384771810955964
FBXO6,18.370147688391434
TOMM7,18.350051183086443
RAB6B,18.33597783528699
TTYH3,18.324746260878847
SMIM5,18.290764204035405
CD244,18.28223910532356
KYNU,18.24712789459001
CARS2,18.24678549608326
