group,names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference
6,PTP4A3,-1.2220833,-1.206511,0.2216760995697018,0.9999851468215875,0.02702702702702703,0.05820853348403504
6,ATP11B,-1.2223812,-0.5790503,0.22156349563002253,0.9999851468215875,0.05574324324324324,0.08816049731562588
6,HCFC1R1,-1.2224929,-0.63476086,0.22152127972070557,0.9999851468215875,0.05574324324324324,0.087595365922577
6,COA3,-1.224038,-0.34948683,0.22093788423035698,0.9999851468215875,0.11824324324324324,0.15117264764057645
6,CSF2RB,-1.2250991,-1.3895677,0.2205378776184903,0.9999851468215875,0.02027027027027027,0.051709522463972875
6,MOB3A,-1.2254156,-0.30565366,0.2204186780141978,0.9999851468215875,0.14020270270270271,0.17462560045210512
6,RP1-187B23.1,-1.2254342,-4.826421,0.2204116677121125,0.9999851468215875,0.0016891891891891893,0.033060186493359706
6,AIMP2,-1.2275006,-1.5432523,0.21963451796126265,0.9999851468215875,0.015202702702702704,0.04690590562305736
6,XPOT,-1.2296413,-0.8182798,0.21883143917931847,0.9999851468215875,0.03547297297297297,0.06781576716586607
6,AGFG1,-1.2305907,-0.9605871,0.2184759670730726,0.9999851468215875,0.030405405405405407,0.06244701893190167
6,ARAP1,-1.2315588,-0.6220986,0.21811395227588593,0.9999851468215875,0.048986486486486486,0.08166148629556372
6,R3HCC1,-1.2328619,-0.6036056,0.21762730575674227,0.9999851468215875,0.05574324324324324,0.08844306301215032
6,PBX2,-1.2331225,-0.5852561,0.21753007020942672,0.9999851468215875,0.060810810810810814,0.09352924554959027
6,TMEM14C,-1.2334018,-0.2570099,0.2174259239372378,0.9999851468215875,0.17060810810810811,0.20712065555241593
